score,data_unit,n,k,subcode,sub2code,reducer_name,kernel_name
0.9820598006644519,AHpf,10,16,w2,reduce,pca,
0.9827242524916944,AHpf,10,17,w2,reduce,pca,
0.9893687707641196,AHpf,10,18,w2,reduce,pca,
0.9827242524916944,AHpf,10,19,w2,reduce,pca,
0.9853820598006644,AHpf,10,20,w2,reduce,pca,
0.987375415282392,AHpf,10,21,w2,reduce,pca,
0.9813953488372092,AHpf,10,22,w2,reduce,pca,
0.9807308970099667,AHpf,10,23,w2,reduce,pca,
0.9760797342192691,AHpf,10,24,w2,reduce,pca,
0.9867109634551495,AHpf,10,25,w2,reduce,pca,
0.986046511627907,AHpf,10,26,w2,reduce,pca,
0.9754152823920266,AHpf,10,27,w2,reduce,pca,
0.986046511627907,AHpf,10,28,w2,reduce,pca,
0.9780730897009967,AHpf,10,29,w2,reduce,pca,
0.9833887043189369,AHpf,10,30,w2,reduce,pca,
0.9794019933554817,AHpf,10,31,w2,reduce,pca,
0.9847176079734219,AHpf,11,1,w2,reduce,pca,
0.9853820598006644,AHpf,11,2,w2,reduce,pca,
0.9827242524916944,AHpf,11,3,w2,reduce,pca,
0.9827242524916944,AHpf,11,4,w2,reduce,pca,
0.987375415282392,AHpf,11,5,w2,reduce,pca,
0.987375415282392,AHpf,11,6,w2,reduce,pca,
0.9880398671096345,AHpf,11,7,w2,reduce,pca,
0.986046511627907,AHpf,11,8,w2,reduce,pca,
0.986046511627907,AHpf,11,9,w2,reduce,pca,
0.9867109634551495,AHpf,11,10,w2,reduce,pca,
0.9820598006644519,AHpf,11,11,w2,reduce,pca,
0.9853820598006644,AHpf,11,12,w2,reduce,pca,
0.9840531561461794,AHpf,11,13,w2,reduce,pca,
0.9827242524916944,AHpf,11,14,w2,reduce,pca,
0.988704318936877,AHpf,11,15,w2,reduce,pca,
0.9867109634551495,AHpf,11,16,w2,reduce,pca,
0.9833887043189369,AHpf,11,17,w2,reduce,pca,
0.9833887043189369,AHpf,11,18,w2,reduce,pca,
0.9847176079734219,AHpf,11,19,w2,reduce,pca,
0.9813953488372092,AHpf,11,20,w2,reduce,pca,
0.987375415282392,AHpf,11,21,w2,reduce,pca,
0.9813953488372092,AHpf,11,22,w2,reduce,pca,
0.9807308970099667,AHpf,11,23,w2,reduce,pca,
0.9827242524916944,AHpf,11,24,w2,reduce,pca,
0.9800664451827242,AHpf,11,25,w2,reduce,pca,
0.9820598006644519,AHpf,11,26,w2,reduce,pca,
0.986046511627907,AHpf,11,27,w2,reduce,pca,
0.9800664451827242,AHpf,11,28,w2,reduce,pca,
0.9833887043189369,AHpf,11,29,w2,reduce,pca,
0.9787375415282392,AHpf,11,30,w2,reduce,pca,
0.986046511627907,AHpf,11,31,w2,reduce,pca,
0.9827242524916944,AHpf,12,1,w2,reduce,pca,
0.9833887043189369,AHpf,12,2,w2,reduce,pca,
0.9840531561461794,AHpf,12,3,w2,reduce,pca,
0.9774086378737542,AHpf,12,4,w2,reduce,pca,
0.9807308970099667,AHpf,12,5,w2,reduce,pca,
0.9840531561461794,AHpf,12,6,w2,reduce,pca,
0.9867109634551495,AHpf,12,7,w2,reduce,pca,
0.987375415282392,AHpf,12,8,w2,reduce,pca,
0.9867109634551495,AHpf,12,9,w2,reduce,pca,
0.9787375415282392,AHpf,12,10,w2,reduce,pca,
0.9853820598006644,AHpf,12,11,w2,reduce,pca,
0.9807308970099667,AHpf,12,12,w2,reduce,pca,
0.9880398671096345,AHpf,12,13,w2,reduce,pca,
0.9847176079734219,AHpf,12,14,w2,reduce,pca,
0.9893687707641196,AHpf,12,15,w2,reduce,pca,
0.9833887043189369,AHpf,12,16,w2,reduce,pca,
0.9813953488372092,AHpf,12,17,w2,reduce,pca,
0.9827242524916944,AHpf,12,18,w2,reduce,pca,
0.9827242524916944,AHpf,12,19,w2,reduce,pca,
0.9787375415282392,AHpf,12,20,w2,reduce,pca,
0.987375415282392,AHpf,12,21,w2,reduce,pca,
0.987375415282392,AHpf,12,22,w2,reduce,pca,
0.9827242524916944,AHpf,12,23,w2,reduce,pca,
0.9827242524916944,AHpf,12,24,w2,reduce,pca,
0.9900332225913622,AHpf,12,25,w2,reduce,pca,
0.9840531561461794,AHpf,12,26,w2,reduce,pca,
0.986046511627907,AHpf,12,27,w2,reduce,pca,
0.9833887043189369,AHpf,12,28,w2,reduce,pca,
0.9840531561461794,AHpf,12,29,w2,reduce,pca,
0.9807308970099667,AHpf,12,30,w2,reduce,pca,
0.9840531561461794,AHpf,12,31,w2,reduce,pca,
0.9880398671096345,AHpf,13,1,w2,reduce,pca,
0.9867109634551495,AHpf,13,2,w2,reduce,pca,
0.9853820598006644,AHpf,13,3,w2,reduce,pca,
0.9847176079734219,AHpf,13,4,w2,reduce,pca,
0.988704318936877,AHpf,13,5,w2,reduce,pca,
0.986046511627907,AHpf,13,6,w2,reduce,pca,
0.9827242524916944,AHpf,13,7,w2,reduce,pca,
0.988704318936877,AHpf,13,8,w2,reduce,pca,
0.988704318936877,AHpf,13,9,w2,reduce,pca,
0.9893687707641196,AHpf,13,10,w2,reduce,pca,
0.9847176079734219,AHpf,13,11,w2,reduce,pca,
0.9893687707641196,AHpf,13,12,w2,reduce,pca,
0.9840531561461794,AHpf,13,13,w2,reduce,pca,
0.9867109634551495,AHpf,13,14,w2,reduce,pca,
0.9840531561461794,AHpf,13,15,w2,reduce,pca,
0.988704318936877,AHpf,13,16,w2,reduce,pca,
0.9847176079734219,AHpf,13,17,w2,reduce,pca,
0.9853820598006644,AHpf,13,18,w2,reduce,pca,
0.9840531561461794,AHpf,13,19,w2,reduce,pca,
0.9780730897009967,AHpf,13,20,w2,reduce,pca,
0.9913621262458472,AHpf,13,21,w2,reduce,pca,
0.9794019933554817,AHpf,13,22,w2,reduce,pca,
0.9794019933554817,AHpf,13,23,w2,reduce,pca,
0.9840531561461794,AHpf,13,24,w2,reduce,pca,
0.9820598006644519,AHpf,13,25,w2,reduce,pca,
0.9827242524916944,AHpf,13,26,w2,reduce,pca,
0.9800664451827242,AHpf,13,27,w2,reduce,pca,
0.986046511627907,AHpf,13,28,w2,reduce,pca,
0.9820598006644519,AHpf,13,29,w2,reduce,pca,
0.9833887043189369,AHpf,13,30,w2,reduce,pca,
0.9800664451827242,AHpf,13,31,w2,reduce,pca,
0.9853820598006644,AHpf,14,1,w2,reduce,pca,
0.9853820598006644,AHpf,14,2,w2,reduce,pca,
0.9880398671096345,AHpf,14,3,w2,reduce,pca,
0.9880398671096345,AHpf,14,4,w2,reduce,pca,
0.988704318936877,AHpf,14,5,w2,reduce,pca,
0.9853820598006644,AHpf,14,6,w2,reduce,pca,
0.9880398671096345,AHpf,14,7,w2,reduce,pca,
0.986046511627907,AHpf,14,8,w2,reduce,pca,
0.9833887043189369,AHpf,14,9,w2,reduce,pca,
0.986046511627907,AHpf,14,10,w2,reduce,pca,
0.9880398671096345,AHpf,14,11,w2,reduce,pca,
0.9880398671096345,AHpf,14,12,w2,reduce,pca,
0.9833887043189369,AHpf,14,13,w2,reduce,pca,
0.9807308970099667,AHpf,14,14,w2,reduce,pca,
0.9820598006644519,AHpf,14,15,w2,reduce,pca,
0.986046511627907,AHpf,14,16,w2,reduce,pca,
0.986046511627907,AHpf,14,17,w2,reduce,pca,
