class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
all-classes,0.9793743372216331,AHpf,True,True,pca,None,4,10
all-classes,0.9796394485683987,AHpf,True,True,pca,None,4,11
all-classes,0.9794273594909862,AHpf,True,True,pca,None,4,12
all-classes,0.9797985153764581,AHpf,True,True,pca,None,4,13
all-classes,0.9796394485683987,AHpf,True,True,pca,None,4,14
all-classes,0.9796394485683987,AHpf,True,True,pca,None,4,15
all-classes,0.964050901378579,AHpf,True,True,kpca,poly,4,1
all-classes,0.9699363732767763,AHpf,True,True,kpca,poly,4,2
all-classes,0.9747613997879109,AHpf,True,True,kpca,poly,4,3
all-classes,0.9760869565217392,AHpf,True,True,kpca,poly,4,4
all-classes,0.9762460233297985,AHpf,True,True,kpca,poly,4,5
all-classes,0.9764050901378579,AHpf,True,True,kpca,poly,4,6
all-classes,0.9766702014846236,AHpf,True,True,kpca,poly,4,7
all-classes,0.9766702014846236,AHpf,True,True,kpca,poly,4,8
all-classes,0.9769883351007423,AHpf,True,True,kpca,poly,4,9
all-classes,0.9771474019088017,AHpf,True,True,kpca,poly,4,10
all-classes,0.9775185577942735,AHpf,True,True,kpca,poly,4,11
all-classes,0.9772004241781548,AHpf,True,True,kpca,poly,4,12
all-classes,0.9771474019088017,AHpf,True,True,kpca,poly,4,13
all-classes,0.9772004241781548,AHpf,True,True,kpca,poly,4,14
all-classes,0.9770943796394486,AHpf,True,True,kpca,poly,4,15
all-classes,0.8173382820784729,AHpf,True,True,kpca,rbf,4,1
all-classes,0.8060975609756098,AHpf,True,True,kpca,rbf,4,2
all-classes,0.8209437963944857,AHpf,True,True,kpca,rbf,4,3
all-classes,0.8198303287380699,AHpf,True,True,kpca,rbf,4,4
all-classes,0.8200954400848356,AHpf,True,True,kpca,rbf,4,5
all-classes,0.8219512195121951,AHpf,True,True,kpca,rbf,4,6
all-classes,0.8207847295864263,AHpf,True,True,kpca,rbf,4,7
all-classes,0.8215270413573701,AHpf,True,True,kpca,rbf,4,8
all-classes,0.8230116648992577,AHpf,True,True,kpca,rbf,4,9
all-classes,0.8220572640509014,AHpf,True,True,kpca,rbf,4,10
all-classes,0.8214209968186639,AHpf,True,True,kpca,rbf,4,11
all-classes,0.8224284199363733,AHpf,True,True,kpca,rbf,4,12
all-classes,0.8225344644750795,AHpf,True,True,kpca,rbf,4,13
all-classes,0.823541887592789,AHpf,True,True,kpca,rbf,4,14
all-classes,0.8214209968186639,AHpf,True,True,kpca,rbf,4,15
all-classes,0.6114528101802758,AHpf,True,True,kpca,sigmoid,4,1
all-classes,0.6024390243902439,AHpf,True,True,kpca,sigmoid,4,2
all-classes,0.6279957582184518,AHpf,True,True,kpca,sigmoid,4,3
all-classes,0.6209968186638388,AHpf,True,True,kpca,sigmoid,4,4
all-classes,0.6386532343584306,AHpf,True,True,kpca,sigmoid,4,5
all-classes,0.6334040296924708,AHpf,True,True,kpca,sigmoid,4,6
all-classes,0.6390243902439025,AHpf,True,True,kpca,sigmoid,4,7
all-classes,0.6348886532343584,AHpf,True,True,kpca,sigmoid,4,8
all-classes,0.6408801696712619,AHpf,True,True,kpca,sigmoid,4,9
all-classes,0.6394485683987274,AHpf,True,True,kpca,sigmoid,4,10
all-classes,0.6401908801696713,AHpf,True,True,kpca,sigmoid,4,11
all-classes,0.6383881230116649,AHpf,True,True,kpca,sigmoid,4,12
all-classes,0.6420996818663839,AHpf,True,True,kpca,sigmoid,4,13
all-classes,0.6397136797454931,AHpf,True,True,kpca,sigmoid,4,14
